repository,type,source,keyword,summary,link,status
awslabs/mcp,Issue,body+comment,OS=windows; FIX=bug|fix,aws-api-mcp-server: suggest_aws_commands,https://github.com/awslabs/mcp/issues/826,Not related
PolicyEngine/policyengine-uk,Issue,body+comment+title,OS=macos|ubuntu; FIX=bug,Ubuntu is returning different results from macos,https://github.com/PolicyEngine/policyengine-uk/issues/1209,Not related
apache/doris-mcp-server,Issue,body,OS=linux|macos|windows; FIX=bug|compatibility|cross-platform|fix|fixed|fixes,[Release Note] Apache Doris MCP Server 0.5.1,https://github.com/apache/doris-mcp-server/issues/24,Not related
BoPeng/ai-marketplace-monitor,Issue,body+title,OS=macos; FIX=compatibility,[Discussion] MacOS compatibility?,https://github.com/BoPeng/ai-marketplace-monitor/issues/206,Not related
Xpra-org/xpra,Issue,body+title,OS=linux|rhel|windows; FIX=bug|fix,Partial window updates (glitchy windows) on all windows,https://github.com/Xpra-org/xpra/issues/4616,Not related
0x676e67/rnet,Issue,body+title,OS=fedora|linux|manjaro|windows; FIX=bug|failing|fixed,Persistent TimeoutError on Linux after router restart,https://github.com/0x676e67/rnet/issues/247,Not Python
Xpra-org/xpra,Issue,body,OS=centos|linux|ubuntu|unix; FIX=bug|fix; TEST_CI=test; CAUSE=.so|encoding|executable|utf-8,"""xpra list-mdns"" displays localhost IP instead of host's IP",https://github.com/Xpra-org/xpra/issues/4613,Not related
GoogleCloudPlatform/agent-starter-pack,Issue,body+title,OS=macos; FIX=broken|fail|fails,Setup fails on macOS with zsh: venv created by 'uv' is missing pip,https://github.com/GoogleCloudPlatform/agent-starter-pack/issues/215,Not related
GoogleCloudPlatform/agent-starter-pack,Issue,body+title,OS=macos; FIX=fail|fails|workaround,Installation script fails on macOS with zsh,https://github.com/GoogleCloudPlatform/agent-starter-pack/issues/213,Not Python
Azure/azure-functions-python-worker,Issue,body,OS=macos|osx; FIX=fail,Error when running Python app locally after installing new Core Tools in M1 Mac,https://github.com/Azure/azure-functions-python-worker/issues/1703,Not Python
aws/aws-sam-cli,Issue,body+title,OS=windows; FIX=bug,Bug: thumbprint does not match - AWS SAM CLI installer for Windows,https://github.com/aws/aws-sam-cli/issues/8120,Not related
ClusterLabs/pcs,Issue,body,OS=fedora; FIX=compatibility,Use curb instead of ethon,https://github.com/ClusterLabs/pcs/issues/985,Not related
OpenBB-finance/OpenBB,Issue,body+title,OS=ubuntu; FIX=bug|fails; API=subprocess,[Bug] PyWry WebView Fails to Launch on Ubuntu 24.04,https://github.com/OpenBB-finance/OpenBB/issues/7148,Related!!
adap/flower,Issue,body+title,OS=ubuntu|windows; FIX=bug|fails; CAUSE=.dll,[Bug]: flwr[simulation] / ray not supported in Windows Environment,https://github.com/adap/flower/issues/5512,New Category
bytedance/deer-flow,Issue,body+comment,OS=linux|win32|windows; FIX=compatibility; API=subprocess,æ·»åŠ mcpå‡ºçŽ°ä»¥ä¸‹æŠ¥é”™,https://github.com/bytedance/deer-flow/issues/302,Not related
Xpra-org/xpra,Issue,body+comment+title,OS=macos; FIX=broken|bug|fixed; CAUSE=.so,Client crashes on launch on macOS (see comments for likely solution),https://github.com/Xpra-org/xpra/issues/4603,Related!!
TeamWiseFlow/wiseflow,Issue,body+title,OS=ubuntu|windows; FIX=bug,[Bug]: ubuntuä¸‹éƒ¨ç½²4.0ï¼Œå¯åŠ¨åŽæŠ¥é”™,https://github.com/TeamWiseFlow/wiseflow/issues/371,Not related
apache/arrow-nanoarrow,Issue,body+comment+title,OS=alpine|linux|windows; FIX=fail|failing|failure; TEST_CI=test|tests,IPC decoder tests fail on 32-bit architectures,https://github.com/apache/arrow-nanoarrow/issues/771,Not Python
Olow304/memvid,Issue,body+title,OS=windows; FIX=fails,Installation fails on Windows 11 due to numpy 1.26.4 requiring C compiler to build,https://github.com/Olow304/memvid/issues/21,Related!!
K0lb3/UnityPy,Issue,body+comment+title,OS=debian|linux|unix; FIX=bug|fails|fixed|workaround; CAUSE=.so|executable,Shipped version of libfmod.so fails to import,https://github.com/K0lb3/UnityPy/issues/327,New Category
Kozea/Radicale,Issue,body+title,OS=macos; FIX=broken|bug|failure|fixed; CAUSE=encoding,macOS Contacts.app sync appears completely broken,https://github.com/Kozea/Radicale/issues/1796,Not related
YosefLab/Hotspot,Issue,body+title,OS=macos|rhel; FIX=broken; TEST_CI=tests; CAUSE=executable,ModuleNotFoundError: No module named 'hotspotsc' despite successful pip install (macOS),https://github.com/YosefLab/Hotspot/issues/50,Not related
OSInside/kiwi,Issue,body,OS=fedora|linux; FIX=regression; TEST_CI=tests,ia32 binaries are not copied on x86_64 ISO image builds,https://github.com/OSInside/kiwi/issues/2822,Not Python
Xpra-org/xpra,Issue,body+title,OS=rhel|windows; FIX=bug|fail|fails,Windows ZIP package is missing challenge module,https://github.com/Xpra-org/xpra/issues/4594,Not Python
aws-deadline/deadline-cloud,Issue,body+title,OS=linux|windows; FIX=bug|fail|fails,Bug: Long paths on Windows break asset root folder checks,https://github.com/aws-deadline/deadline-cloud/issues/689,Related!!
beetbox/beets,Issue,body+title,OS=windows; FIX=fail|failing|fix|regression; TEST_CI=test|tests,[Dev] ~50 library tests fail with the wrong drive on Windows,https://github.com/beetbox/beets/issues/5802,Related!!
ASPP/pelita,Issue,body+comment+title,OS=linux|macos|windows; FIX=bug|fixed|workaround; TEST_CI=test,Rendering problems on (some) MacOS clients,https://github.com/ASPP/pelita/issues/881,Not related
Xpra-org/xpra,Issue,body,OS=arch|debian|fedora|linux|manjaro|ubuntu; FIX=broken|bug,Shadow desktop small & slugish when hdmi not connected,https://github.com/Xpra-org/xpra/issues/4587,Related!!
BuildACell/bioCRNpyler,Issue,body,OS=macos|ubuntu|windows; FIX=failing; TEST_CI=test,Drop python 3.8 support for biocrnpyler?,https://github.com/BuildACell/bioCRNpyler/issues/298,Not related
Xpra-org/xpra,Issue,body+comment,OS=fedora|linux; FIX=bug|fix|fixed|fixes; TEST_CI=test; CAUSE=.so|encoding; API=encoding=,Distorted text when scrolling,https://github.com/Xpra-org/xpra/issues/4586,Not related
astronomer/astronomer-cosmos,Issue,body+comment+title,OS=windows; FIX=bug|compatibility; TEST_CI=test; CAUSE=symlink; API=subprocess,"[Bug] Cannot run dbt inside airflow , although follow the tutorial",https://github.com/astronomer/astronomer-cosmos/issues/1766,Related!!
awslabs/seed-farmer,Issue,body,OS=linux|macos|windows; FIX=compatibility|cross-platform; TEST_CI=ci|workflow,[FEATURE] Migrate to uv,https://github.com/awslabs/seed-farmer/issues/808,Not related
SDGLBL/mcp-claude-code,Issue,body+title,OS=windows; FIX=fails,The `run_command` tool fails to handle Windows paths that are confirmed accessible by other tools.,https://github.com/SDGLBL/mcp-claude-code/issues/15,Related!!
bytedance/deer-flow,Issue,body+comment,OS=debian|linux|macos|ubuntu; FIX=compatibility,Web èŠå¤©ç•Œé¢æŠ¥é”™ï¼ŒCli ä½¿ç”¨æ­£å¸¸ï¼Œæœ‰æ— æŽ¨èæŽ’é”™æ–¹æ³•ï¼Ÿç›®å‰æ²¡æœ‰æ‰¾åˆ°ç›¸å…³çš„æ—¥å¿—ä¿¡æ¯,https://github.com/bytedance/deer-flow/issues/32,Not related
comet-ml/opik,Issue,title,OS=macos; FIX=bug,[Bug]: docker-compose setup won't start with podman on macos,https://github.com/comet-ml/opik/issues/2087,Not related
beetbox/beets,Issue,body+comment,OS=alpine|linux; FIX=fail; TEST_CI=test|tests; API=os.path,2.3.0 PyPi tarball mangling mtime on files,https://github.com/beetbox/beets/issues/5770,Not related
beetbox/beets,Issue,body,OS=linux|unix|win32|windows; FIX=fix; CAUSE=encoding,Inconsistencies in filename length determination,https://github.com/beetbox/beets/issues/5763,Related!!
corrscope/corrscope,Issue,body+comment,OS=arch|fedora|linux|windows; FIX=bug|compatibility|fails|fix|fixed; TEST_CI=test|tests,Can't run a preview/render a video if ffmpeg had already been run once,https://github.com/corrscope/corrscope/issues/504,Not related
RamXX/mcp-tavily,Issue,body+comment+title,OS=windows; FIX=bug,[Server Bug] mcp-tavily,https://github.com/RamXX/mcp-tavily/issues/11,Not related
ag2ai/ag2,Issue,body+title,OS=windows; FIX=failing|fix; TEST_CI=ci|test|tests,Fix failing tests in windows CI because of importing DeepResearchAgent,https://github.com/ag2ai/ag2/issues/1750,Related!!
baryhuang/mcp-remote-macos-use,Issue,body,OS=macos; FIX=bug|fails,Only Tries to Capture Screen using LiveKit,https://github.com/baryhuang/mcp-remote-macos-use/issues/16,Not related
awslabs/mcp,Issue,body+title,OS=windows; FIX=bug|fails; CAUSE=cp1252|encoding|utf-8,awslabs-terraform-mcp-server: UnicodeDecodeError on Windows via uvx,https://github.com/awslabs/mcp/issues/223,Related!!
StollLab/chiLife,Issue,body,OS=windows; FIX=fails,Bifunctional labels example still doesnâ€™t work,https://github.com/StollLab/chiLife/issues/190,Not related
Second-Hand-Friends/kleinanzeigen-bot,Issue,body+comment+title,OS=linux|windows; FIX=bug|fail|fails|fix|fixed,[BUG] Login does no longer work,https://github.com/Second-Hand-Friends/kleinanzeigen-bot/issues/486,Not related
LeapLabTHU/cooragent,Issue,body+title,OS=windows; FIX=bug,"[Bug]: Windows missing ""readline""",https://github.com/LeapLabTHU/cooragent/issues/36,New Category
OSInside/kiwi,Issue,body+title,OS=linux; FIX=broken|fix,Fix broken link in the 'Building Linux System Appliances' guide,https://github.com/OSInside/kiwi/issues/2782,Not related
Azure/azure-functions-python-worker,Issue,body+title,OS=linux; FIX=fails|failure|fixes,Azure Python Function (in Linux App Service) fails after updating azure functions runtime from 4.1037.1 to 4.1038.400.1,https://github.com/Azure/azure-functions-python-worker/issues/1672,Not related
OpenwaterHealth/OpenLIFU-python,Issue,body,OS=windows; FIX=fails,Bad path formatting in run_reconstruction on Meshroom,https://github.com/OpenwaterHealth/OpenLIFU-python/issues/283,Related!!
Xpra-org/xpra,Issue,body+comment,OS=debian|macos|windows; FIX=bug|fix|fixed; TEST_CI=test,Tooltips have an own window on a Wayland client,https://github.com/Xpra-org/xpra/issues/4563,Not related
Steffenhir/GraXpert,Issue,body+title,OS=macos; FIX=compatibility|fail|fails,ONNXRuntimeError on macOS Intel (Core ML - error code -7),https://github.com/Steffenhir/GraXpert/issues/227,Not Python
aws/aws-sam-cli,Issue,body+title,OS=linux|ubuntu|windows; FIX=broken|bug|failure|skip; TEST_CI=test; CAUSE=time zone,Bug: sam cli v1.135.0 and higher breaks sam local invoke in vscode,https://github.com/aws/aws-sam-cli/issues/7996,Not related
agno-agi/agno,Issue,body+title,OS=linux; FIX=bug|failing; TEST_CI=tests,[Bug] Memory Creation Failing on Linux Machine using UV,https://github.com/agno-agi/agno/issues/2896,Not related
Azure/azure-functions-python-worker,Issue,body+title,OS=linux; FIX=bug|fix,[Bug] opentelemetry-related errors for Linux Dedicated / Linux Consumption,https://github.com/Azure/azure-functions-python-worker/issues/1668,Not related
OSInside/kiwi,Issue,body+comment+title,OS=debian|linux|rhel|ubuntu; FIX=bug|fails|fix,RHEL8 build fails under the Kiwi version 10.2.16,https://github.com/OSInside/kiwi/issues/2779,Not Python
apple/coremltools,Issue,body+title,OS=linux|macos; FIX=bug|compatibility|fixed,Flexible Shapes has compatibility issues with MacOS 15.4,https://github.com/apple/coremltools/issues/2483,Not Python
Farama-Foundation/Gymnasium,Issue,body+title,OS=macos; FIX=bug,[Bug Report] Unclear Documentation about Installing swig on MacOS,https://github.com/Farama-Foundation/Gymnasium/issues/1357,Not related
copasi/basico,Issue,body+title,OS=macos|ubuntu|windows; FIX=bug|failing|fails; TEST_CI=github actions|tests,"Bug: `CDataModel_importSBMLFromString` fails on macOS, but not on Win and Ubuntu",https://github.com/copasi/basico/issues/67,Not Python
aws/aws-sam-cli,Issue,body+title,OS=linux|macos|windows; FIX=bug,Bug: `sam local start-api` on macOS with Go runtime causes `fork/exec /var/task/main: no such file or directory: PathError`,https://github.com/aws/aws-sam-cli/issues/7976,Not related
GoogleCloudPlatform/agent-starter-pack,Issue,body+comment,OS=windows; FIX=compatibility|fail|fails|fix|skip; TEST_CI=test; CAUSE=executable|permission denied; API=subprocess,agent-starter-pack setup-cicd FileNotFoundError: [WinError 2] The system cannot find the file specified,https://github.com/GoogleCloudPlatform/agent-starter-pack/issues/67,Related!!
bbglab/openvariant,Issue,body+title,OS=linux|windows; FIX=bug,OpenVariant Bug | Windows input files not parsed properly,https://github.com/bbglab/openvariant/issues/47,Related!!
Agenta-AI/agenta,Issue,body+title,OS=macos; FIX=bug|fails,[AGE-2114] [Bug] Cannot login for the first time after deploying locally via Docker Desktop [macOS],https://github.com/Agenta-AI/agenta/issues/2564,Not related
ansible-collections/amazon.aws,Issue,body+comment,OS=debian|linux; FIX=broken|bug|fail|fails|failure; TEST_CI=test|tests; CAUSE=executable,AWS EC2 inventory no longer works with ansible-core 2.18+,https://github.com/ansible-collections/amazon.aws/issues/2574,Not related
aristanetworks/anta,Issue,body,OS=ubuntu; FIX=fail,anta/runner.py throws unhandled exception ValueError: not allowed to raise maximum limit,https://github.com/aristanetworks/anta/issues/1135,Related!!
ag2ai/ag2,Issue,body+title,OS=windows; FIX=bug|failing; TEST_CI=test|tests,[Bug]: mkdocs failing tests,https://github.com/ag2ai/ag2/issues/1511,Related!!
ansys/pymechanical,Issue,body+comment,OS=linux|nt|win32|win64|windows; FIX=bug|fail|workaround; TEST_CI=test; CAUSE=.dll|executable; API=os.name|os.path,SEHException in embedded instance,https://github.com/ansys/pymechanical/issues/1136,Not Python
PolicyEngine/policyengine-uk,Issue,body+title,OS=macos|ubuntu; FIX=fails,Some uprating fails on `ubuntu` but not `macos`,https://github.com/PolicyEngine/policyengine-uk/issues/1091,Not related
Xpra-org/xpra,Issue,body,OS=debian; FIX=broken|fixed,ModuleNotFoundError: No module named 'xpra.client.mixins.cursors',https://github.com/Xpra-org/xpra/issues/4547,Not related
ACCESS-Community-Hub/PyEarthTools,Issue,body+comment+title,OS=windows; FIX=fix|fixed; TEST_CI=test|tests,Can't run tutorial on Windows,https://github.com/ACCESS-Community-Hub/PyEarthTools/issues/82,Related!!
Azure/co-op-translator,Issue,body+title,OS=linux|windows; FIX=bug|compatibility|cross-platform|fails; TEST_CI=github actions,Path handling issues with cross-platform compatibility (Windows & Linux),https://github.com/Azure/co-op-translator/issues/111,Related!!
bloomberg/memray,Issue,body+comment,OS=linux|macos|posix; FIX=failing|fails|failure|portable|skip|workaround; TEST_CI=test; CAUSE=.so|executable,Failed to write output header,https://github.com/bloomberg/memray/issues/731,Not related
GitGuardian/ggshield,Issue,body+title,OS=linux|macos|windows; FIX=broken|bug,1.38.0 broken on macOS via homebrew: `ModuleNotFoundError: No module named 'truststore'`,https://github.com/GitGuardian/ggshield/issues/1074,Related!!
basilisp-lang/basilisp,Issue,body,OS=linux; FIX=compatibility|skip,Basilisp package manager,https://github.com/basilisp-lang/basilisp/issues/1218,Not related
agno-agi/agno,Issue,body+comment,OS=windows; FIX=compatibility|fix; CAUSE=executable; API=subprocess,FileNotFoundError when running Agent with MCPTools using Playwright,https://github.com/agno-agi/agno/issues/2559,Related!!
camel-ai/camel,Issue,body+title,OS=unix|win32|windows; FIX=bug|fails|failure; CAUSE=executable; API=os.path,[BUG] `PythonVerifier` incorrectly enables `uv` and fails to locate `python.exe` on Windows,https://github.com/camel-ai/camel/issues/2004,Related!!
OpenAdaptAI/OmniMCP,Issue,body,OS=linux|macos|windows; FIX=cross-platform,Host and Endpoint Configuration,https://github.com/OpenAdaptAI/OmniMCP/issues/5,Not related
Kozea/Radicale,Issue,body+comment,OS=debian|fedora|linux|posix; FIX=bug; CAUSE=.so|executable,3.5.0 crashes directly on start,https://github.com/Kozea/Radicale/issues/1739,Not Python
ansys/pyfluent,Issue,body+title,OS=linux|windows; FIX=bug|fails|failure,Bug located in PyFluent: Missing attribute for high_speed_numerics,https://github.com/ansys/pyfluent/issues/3862,Not related
ansys/pyfluent,Issue,body+title,OS=linux|windows; FIX=bug|fails|failure; TEST_CI=workflow; CAUSE=newline,Bug located in PyFluent Headlamp Tutorial,https://github.com/ansys/pyfluent/issues/3857,Not related
Matgenix/jobflow-remote,Issue,body+title,OS=unix|windows; FIX=fail|fails|fixed|fixes; TEST_CI=test,Lacking support for Windows,https://github.com/Matgenix/jobflow-remote/issues/270,Related!!
apache/arrow-nanoarrow,Issue,body+comment+title,OS=linux|macos|windows; FIX=skip; TEST_CI=ci|matrix|test,Test Meson example on Windows,https://github.com/apache/arrow-nanoarrow/issues/725,Not related
assafelovic/gpt-researcher,Issue,body+comment+title,OS=linux|ubuntu|windows; FIX=bug|fix,Empty report when running GPTR on Docker with Windows,https://github.com/assafelovic/gpt-researcher/issues/1260,Not related
METR/vivaria,Issue,body,OS=linux|macos|unix|windows; FIX=broken|fix; TEST_CI=test|workflow; CAUSE=chmod|permission denied,Vivaria setup painpoints and time estimates,https://github.com/METR/vivaria/issues/970,Not Python
Azure/azure-functions-python-worker,Issue,body+title,OS=debian|linux|ubuntu|windows; FIX=fail|failure; TEST_CI=azure pipelines|azure-devops|github actions|runs-on; CAUSE=.so,"Cryptography module 44.0.0 causing error ""ImportError //lib/x86_64-linux-gnu/libc.so.6 /version `GLIBC_2.33' not found""",https://github.com/Azure/azure-functions-python-worker/issues/1651,New Category
TeamWiseFlow/wiseflow,Issue,body+title,OS=windows; FIX=bug; TEST_CI=test,[Bug]: windows æ‰§è¡Œpython windows_run.pyå¯åŠ¨æ—¶æŠ¥é”™,https://github.com/TeamWiseFlow/wiseflow/issues/306,Not related
aws/aws-sam-cli,Issue,body+comment+title,OS=linux|ubuntu|windows|wsl; FIX=bug|fix|skip; TEST_CI=test|tests|workflow; API=subprocess,Bug: sam init - CalledProcessError,https://github.com/aws/aws-sam-cli/issues/7929,Related!!
camel-ai/camel,Issue,title,OS=windows; FIX=fix,[Feature Request] fix terminaltookit can not work well in windows,https://github.com/camel-ai/camel/issues/1791,Not related
camel-ai/camel,Issue,body+title,OS=win32|windows; FIX=bug|fails|fix; CAUSE=backslash|executable; API=subprocess,[BUG] Subprocess Command Parsing Fails on Windows Due to Backslash Path Handling,https://github.com/camel-ai/camel/issues/1777,Related!!
bloomberg/memray,Issue,body+title,OS=linux|ubuntu|wsl; FIX=fails,CUDA driver fails to initialize in WSL,https://github.com/bloomberg/memray/issues/722,Not Python
conda/conda-recipe-manager,Issue,body,OS=windows; FIX=failing; TEST_CI=tests,Rename bld.bat to build.bat when converting V0 recipe to V1 recipe,https://github.com/conda/conda-recipe-manager/issues/314,Not related
agno-agi/agno,Issue,body+title,OS=windows; FIX=bug; TEST_CI=test; CAUSE=executable; API=subprocess,[Bug] MCP on Windows not working,https://github.com/agno-agi/agno/issues/2313,Related!!
OpenMDAO/OpenMDAO,Issue,body+title,OS=macos; FIX=fail|failure; TEST_CI=test|tests,memory leak test failure on MacOS with NumPy 2.x,https://github.com/OpenMDAO/OpenMDAO/issues/3472,Not related
SanPen/GridCal,Issue,body+title,OS=windows; FIX=broken|bug,The link is broken,https://github.com/SanPen/GridCal/issues/344,Not related
canonical/imagecraft,Issue,body+title,OS=linux|ubuntu; FIX=broken|bug|failing; TEST_CI=tests; CAUSE=.so|permission denied; API=subprocess,Broken spread tests on 20.04 and 22.04,https://github.com/canonical/imagecraft/issues/99,New Category
allenai/olmocr,Issue,body+comment+title,OS=windows|wsl; FIX=bug|fix; TEST_CI=tests; CAUSE=permission denied,Temporary file permissions access denied in windows,https://github.com/allenai/olmocr/issues/74,Related!!
TalkBank/batchalign2,Issue,body+comment,OS=windows; FIX=fix|fixed|fixes; TEST_CI=test; CAUSE=cp1252|utf-8,"Failed to import the NeMo framework or its dependencies! 'pip install -U \""batchalign[speaker]",https://github.com/TalkBank/batchalign2/issues/30,Related!!
assafelovic/gpt-researcher,Issue,body+comment,OS=arch|debian|linux|macos|os x; FIX=failure|fixed; TEST_CI=test; CAUSE=chmod,Issue installing on m-chip mac,https://github.com/assafelovic/gpt-researcher/issues/1218,New Category
aws/aws-sam-cli,Issue,body+title,OS=linux|macos|windows; FIX=bug|fail|fails|workaround,Bug: macos temp folder access,https://github.com/aws/aws-sam-cli/issues/7903,Not related
ag2ai/ag2,Issue,title,OS=windows; FIX=failing|fix; TEST_CI=ci|tests,[Issue] Fix failing RetrieveChat tests in CI on Windows,https://github.com/ag2ai/ag2/issues/1147,Not related
assafelovic/gpt-researcher,Issue,body+comment+title,OS=arch|linux|macos|ubuntu; FIX=bug|fails|fix|fixed; TEST_CI=tests; CAUSE=chmod,Install via Docker fails on Mac M2,https://github.com/assafelovic/gpt-researcher/issues/1201,Not related
ag2ai/ag2,Issue,title,OS=windows; FIX=failing; TEST_CI=tests,RetrieveChat tests are failing in windows,https://github.com/ag2ai/ag2/issues/1123,Not related
ag2ai/ag2,Issue,title,OS=windows; FIX=failing; TEST_CI=test,test/website/test_generate_mkdocs.py::test_exclude_files is failing in windows,https://github.com/ag2ai/ag2/issues/1120,Not related
OSInside/kiwi,Issue,body+title,OS=fedora|linux; FIX=fail|failing; TEST_CI=test,Fedora live images for ppc64le fail due to requiring non-existent `biosdisk` grub2 module,https://github.com/OSInside/kiwi/issues/2738,New Category
Farama-Foundation/Gymnasium,Issue,body+title,OS=ubuntu; FIX=bug,"[Bug Report] program get's killed when `render_mode=""human""` in Ubuntu",https://github.com/Farama-Foundation/Gymnasium/issues/1316,New Category
bluesky/bluesky,Issue,body+comment+title,OS=linux|windows; FIX=failure; TEST_CI=pytest|test|tests|tox,Flakey test on windows,https://github.com/bluesky/bluesky/issues/1884,Not related
Second-Hand-Friends/kleinanzeigen-bot,Issue,body+title,OS=linux; FIX=bug; CAUSE=.so,[BUG] Latest version does not work with linux mint 21.3,https://github.com/Second-Hand-Friends/kleinanzeigen-bot/issues/429,New Category
Xpra-org/xpra,Issue,body+comment,OS=cygwin|mingw|msys|msys2|ubuntu|windows; FIX=bug|failing|failure|fixed|regression|skip; TEST_CI=test,SSH connection host should strip comments,https://github.com/Xpra-org/xpra/issues/4503,Not related
apple/coremltools,Issue,body+title,OS=debian|linux|macos|ubuntu; FIX=bug|fail|fails,Debian sid fails to load _ML*,https://github.com/apple/coremltools/issues/2448,Related!!
OSInside/kiwi,Issue,body+comment+title,OS=linux|ubuntu; FIX=failure|fixed; TEST_CI=test,[OEM tar] Image checksum test failed,https://github.com/OSInside/kiwi/issues/2733,Not Python
basilisp-lang/basilisp,Issue,body+title,OS=windows; FIX=fails|failure,Issue with basilisp bootstrap on MS-Windows,https://github.com/basilisp-lang/basilisp/issues/1208,To review
