filename,model,fixed_file,fixed_correctly
Dynamic_library_loading_mismatch.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Dynamic_library_loading_mismatch.1.py,NO
Dynamic_library_loading_mismatch.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Dynamic_library_loading_mismatch.1.py,YES
Dynamic_library_loading_mismatch.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Dynamic_library_loading_mismatch.1.py,YES
Encoding_mismatch.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Encoding_mismatch.1.py,NO
Encoding_mismatch.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Encoding_mismatch.1.py,YES
Encoding_mismatch.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Encoding_mismatch.1.py,YES
Encoding_mismatch.2.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Encoding_mismatch.2.py,YES
Encoding_mismatch.2.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Encoding_mismatch.2.py,YES
Encoding_mismatch.2.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Encoding_mismatch.2.py,YES
File_descriptor_limits.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/File_descriptor_limits.1.py,YES
File_descriptor_limits.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/File_descriptor_limits.1.py,YES
File_descriptor_limits.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/File_descriptor_limits.1.py,NO
geteuid().1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/geteuid().1.py,YES
geteuid().1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/geteuid().1.py,YES
geteuid().1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/geteuid().1.py,NO
getuid().1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/getuid().1.py,YES
getuid().1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/getuid().1.py,YES
getuid().1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/getuid().1.py,YES
GUI_window-manager_differences.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/GUI_window-manager_differences.1.py,NO
GUI_window-manager_differences.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/GUI_window-manager_differences.1.py,NO
GUI_window-manager_differences.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/GUI_window-manager_differences.1.py,NO
GUI_window-manager_differences.2.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/GUI_window-manager_differences.2.py,YES
GUI_window-manager_differences.2.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/GUI_window-manager_differences.2.py,NO
GUI_window-manager_differences.2.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/GUI_window-manager_differences.2.py,YES
lib_fcntl_dont_works_in_windows.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/lib_fcntl_dont_works_in_windows.py,NO
lib_fcntl_dont_works_in_windows.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/lib_fcntl_dont_works_in_windows.py,NO
lib_fcntl_dont_works_in_windows.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/lib_fcntl_dont_works_in_windows.py,NO
Line_ending_mismatch.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Line_ending_mismatch.1.py,YES
Line_ending_mismatch.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Line_ending_mismatch.1.py,YES
Line_ending_mismatch.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Line_ending_mismatch.1.py,YES
Line_ending_mismatch.2.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Line_ending_mismatch.2.py,NO
Line_ending_mismatch.2.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Line_ending_mismatch.2.py,NO
Line_ending_mismatch.2.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Line_ending_mismatch.2.py,NO
missing_a_lib.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/missing_a_lib.1.py,YES
missing_a_lib.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/missing_a_lib.1.py,YES
missing_a_lib.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/missing_a_lib.1.py,NO
missing_a_lib.2.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/missing_a_lib.2.py,NO
missing_a_lib.2.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/missing_a_lib.2.py,YES
missing_a_lib.2.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/missing_a_lib.2.py,YES
no_display_avaliable_in_github_ci_for_linux.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/no_display_avaliable_in_github_ci_for_linux.1.py,YES
no_display_avaliable_in_github_ci_for_linux.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/no_display_avaliable_in_github_ci_for_linux.1.py,YES
no_display_avaliable_in_github_ci_for_linux.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/no_display_avaliable_in_github_ci_for_linux.1.py,NO
Opened_file_locking.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Opened_file_locking.1.py,NO
Opened_file_locking.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Opened_file_locking.1.py,NO
Opened_file_locking.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Opened_file_locking.1.py,YES
Opened_file_locking.2.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Opened_file_locking.2.py,YES
Opened_file_locking.2.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Opened_file_locking.2.py,NO
Opened_file_locking.2.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Opened_file_locking.2.py,YES
OS-specific_pathing.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/OS-specific_pathing.1.py,YES
OS-specific_pathing.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/OS-specific_pathing.1.py,YES
OS-specific_pathing.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/OS-specific_pathing.1.py,NO
permission_mismatch.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/permission_mismatch.1.py,NO
permission_mismatch.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/permission_mismatch.1.py,YES
permission_mismatch.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/permission_mismatch.1.py,YES
permission_mismatch.2.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/permission_mismatch.2.py,YES
permission_mismatch.2.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/permission_mismatch.2.py,YES
permission_mismatch.2.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/permission_mismatch.2.py,NO
readline.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/readline.1.py,YES
readline.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/readline.1.py,YES
readline.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/readline.1.py,YES
resource.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/resource.1.py,YES
resource.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/resource.1.py,YES
resource.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/resource.1.py,YES
Signal_handling.1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/Signal_handling.1.py,YES
Signal_handling.1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/Signal_handling.1.py,NO
Signal_handling.1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/Signal_handling.1.py,NO
uname().1.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/uname().1.py,YES
uname().1.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/uname().1.py,YES
uname().1.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/uname().1.py,YES
uname().2.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/uname().2.py,YES
uname().2.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/uname().2.py,YES
uname().2.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/uname().2.py,NO
version.py,x-ai/grok-4-fast,fixes/generic/x-ai_grok-4-fast/version.py,YES
version.py,openai/gpt-4o-mini,fixes/generic/openai_gpt-4o-mini/version.py,YES
version.py,meta-llama/llama-3.3-70b-instruct,fixes/generic/meta-llama_llama-3.3-70b-instruct/version.py,YES
