filename,class,model,predicted
portable/fixed/f15.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f15.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f15.py,portable,openai/gpt-4o-mini,portable
portable/fixed/f20.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f20.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f20.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f14.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f14.py,portable,x-ai/grok-4-fast,nonportable
portable/fixed/f14.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f8.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f8.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f8.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f10.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f10.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f10.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f24.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f24.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f24.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f3.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f3.py,portable,x-ai/grok-4-fast,nonportable
portable/fixed/f3.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f7.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f7.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f7.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/test_checker.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/test_checker.py,portable,x-ai/grok-4-fast,portable
portable/fixed/test_checker.py,portable,openai/gpt-4o-mini,nonportable
portable/fixed/f6.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f6.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f6.py,portable,openai/gpt-4o-mini,portable
portable/fixed/f2.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/fixed/f2.py,portable,x-ai/grok-4-fast,portable
portable/fixed/f2.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/21.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/unrelated/21.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/21.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/15.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/15.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/15.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/8.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/8.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/8.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/11.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/11.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/11.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/achallenges.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/unrelated/achallenges.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/achallenges.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/9.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/unrelated/9.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/9.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/10.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/10.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/10.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/monitor.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/monitor.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/monitor.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/20.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/20.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/20.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/14.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/14.py,portable,x-ai/grok-4-fast,nonportable
portable/unrelated/14.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/6.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/6.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/6.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/2.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/2.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/2.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/3.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/3.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/3.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/7.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/7.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/7.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/acouplecooks.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/unrelated/acouplecooks.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/acouplecooks.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/19.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/19.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/19.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/4.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/4.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/4.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/pipeline.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/pipeline.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/pipeline.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/5.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/unrelated/5.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/5.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/1.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/1.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/1.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/bar.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/unrelated/bar.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/bar.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/plugin1.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/plugin1.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/plugin1.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/18.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/unrelated/18.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/18.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/test_extract_list.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/test_extract_list.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/test_extract_list.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/cookieandkate.py,portable,meta-llama/llama-3.3-70b-instruct,portable
portable/unrelated/cookieandkate.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/cookieandkate.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/13.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/13.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/13.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/17.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/17.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/17.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/16.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/16.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/16.py,portable,openai/gpt-4o-mini,nonportable
portable/unrelated/scrap.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/scrap.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/scrap.py,portable,openai/gpt-4o-mini,portable
portable/unrelated/12.py,portable,meta-llama/llama-3.3-70b-instruct,nonportable
portable/unrelated/12.py,portable,x-ai/grok-4-fast,portable
portable/unrelated/12.py,portable,openai/gpt-4o-mini,nonportable
nonportable/File_descriptor_limits.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/File_descriptor_limits.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/File_descriptor_limits.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/readline.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,portable
nonportable/readline.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/readline.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Opened_file_locking.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Opened_file_locking.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Opened_file_locking.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/GUI_window-manager_differences.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/GUI_window-manager_differences.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/GUI_window-manager_differences.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/version.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/version.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/version.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/uname().1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/uname().1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/uname().1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/getuid().1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/getuid().1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/getuid().1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Line_ending_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Line_ending_mismatch.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Line_ending_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Curses_maybe_not_avaliable_Win.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Curses_maybe_not_avaliable_Win.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Curses_maybe_not_avaliable_Win.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/missing_a_lib.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,portable
nonportable/missing_a_lib.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/missing_a_lib.1.py,nonportable,openai/gpt-4o-mini,portable
nonportable/Command_execution_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Command_execution_mismatch.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Command_execution_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/permission_mismatch.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/permission_mismatch.2.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/permission_mismatch.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Address_already_in_use.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,portable
nonportable/Address_already_in_use.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Address_already_in_use.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Encoding_mismatch.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Encoding_mismatch.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Encoding_mismatch.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/resource.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,portable
nonportable/resource.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/resource.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Encoding_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Encoding_mismatch.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Encoding_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/OS-specific_pathing.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/OS-specific_pathing.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/OS-specific_pathing.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Line_ending_mismatch.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Line_ending_mismatch.2.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Line_ending_mismatch.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/missing_a_lib.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/missing_a_lib.2.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/missing_a_lib.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/permission_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/permission_mismatch.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/permission_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Command_execution_mismatch.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Command_execution_mismatch.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Command_execution_mismatch.2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Address_already_in_use.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Address_already_in_use.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Address_already_in_use.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/uname().2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/uname().2.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/uname().2.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Signal_handling.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Signal_handling.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Signal_handling.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/geteuid().1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/geteuid().1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/geteuid().1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/lib_fcntl_dont_works_in_windows.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/lib_fcntl_dont_works_in_windows.py,nonportable,x-ai/grok-4-fast,portable
nonportable/lib_fcntl_dont_works_in_windows.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Dynamic_library_loading_mismatch.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Dynamic_library_loading_mismatch.1.py,nonportable,x-ai/grok-4-fast,nonportable
nonportable/Dynamic_library_loading_mismatch.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/Opened_file_locking.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/Opened_file_locking.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/Opened_file_locking.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/no_display_avaliable_in_github_ci_for_linux.1.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/no_display_avaliable_in_github_ci_for_linux.1.py,nonportable,x-ai/grok-4-fast,portable
nonportable/no_display_avaliable_in_github_ci_for_linux.1.py,nonportable,openai/gpt-4o-mini,nonportable
nonportable/GUI_window-manager_differences.2.py,nonportable,meta-llama/llama-3.3-70b-instruct,nonportable
nonportable/GUI_window-manager_differences.2.py,nonportable,x-ai/grok-4-fast,portable
nonportable/GUI_window-manager_differences.2.py,nonportable,openai/gpt-4o-mini,nonportable
